student_id,age,gender,course,year,study_hours_per_day,attendance_percent,previous_semester_marks,assignment_score,internal_marks,sleep_hours_per_day,screen_time_hours_per_day,social_media_hours_per_day,practice_tests_completed,extracurricular_level,internet_access,parent_education,scholarship,part_time_job,final_exam_marks
STU100001,23,Other,Information Technology,3rd,4.7,71.6,82.6,100,75.3,8.4,5.9,1.7,2,Medium,Good,Graduate,No,No,88.7
STU100002,20,Female,Mechanical Engineering,4th,6.1,74.8,66.4,59,59.6,6.2,6.9,3.4,5,Medium,Good,Postgraduate,No,No,69.4
STU100003,21,Male,Mechanical Engineering,4th,4.5,81.6,86.6,87.2,63.8,5.9,2.3,3.4,4,Medium,Average,Postgraduate,No,No,81.7
STU100004,23,Female,Data Science,4th,4.2,59.9,62.2,,70.1,6.7,6.9,1.2,6,Medium,Good,Postgraduate,No,No,80.6
STU100005,19,Male,Computer Engineering,3rd,3.3,84.1,64.1,66.2,66.1,7.3,2.1,0,2,Low,Average,Diploma,Yes,Yes,71.7
STU100006,21,Male,Data Science,2nd,3.3,82.1,53.3,72.2,70,6.5,4.8,2.6,3,High,Good,Graduate,No,No,68.9
STU100007,21,Female,Civil Engineering,3rd,10.1,73.8,64,61.6,47.4,8,7.2,4.4,5,High,Average,Postgraduate,No,No,70.9
STU100008,23,Male,Data Science,1st,4.4,81.3,51.9,65.7,82.3,7.1,7.9,3,5,Medium,Good,Postgraduate,No,No,86.5
STU100009,18,Female,Mechanical Engineering,4th,7.5,83.1,73.2,51.5,55,8,6.8,3.9,4,Medium,Good,Postgraduate,No,No,80.2
STU100010,19,Male,Computer Engineering,3rd,8.2,95.2,69.4,82.1,40.5,5.6,4.1,1.6,2,Medium,Average,Graduate,No,No,84.3
STU100011,23,Female,Civil Engineering,1st,4.4,100,87.2,58.5,60,6.1,4,3.7,6,Low,Good,School,No,No,87.6
STU100012,19,Male,Mechanical Engineering,4th,5.5,,49,62,67,7.4,4.9,0,2,Low,Good,Graduate,No,No,66.3
STU100013,19,Female,Civil Engineering,2nd,5,62.4,83.8,60.3,98.2,6.9,5.3,3.4,5,High,Average,Diploma,No,No,84.6
STU100014,21,Female,Mechanical Engineering,4th,1.6,79.2,55.3,61.1,63.2,6.6,7,0,6,Low,Good,Diploma,No,Yes,78
STU100015,20,Male,Mechanical Engineering,4th,1.7,53.1,72.5,74.2,72.9,6.2,5.1,3.4,7,Medium,Average,Graduate,No,No,80.1
STU100016,19,Female,Mechanical Engineering,4th,4.9,85.8,53.1,72.9,74.5,6.9,4.3,1.7,3,Low,Good,Diploma,Yes,No,80.2
STU100017,22,Male,Information Technology,1st,4,79.4,70.6,100,48.8,8.4,4.5,3.8,3,Low,Poor,Graduate,No,No,81.8
STU100018,21,Male,Electronics,1st,8.6,82.4,35.4,68.3,68.5,4.6,7.5,2.4,5,High,Average,Graduate,Yes,No,83.6
STU100019,18,Female,Computer Engineering,4th,4.3,74.4,59.3,70.5,66.3,6.6,5.3,4.1,3,Low,Good,Postgraduate,No,Yes,82.9
STU100020,20,Male,Information Technology,4th,8.7,81.1,69.4,92.1,71.2,6.7,8.2,3.2,3,Medium,Average,School,Yes,No,92.5
STU100021,22,Female,Electronics,2nd,3.8,83.7,90.8,75.4,75.9,5.6,7.1,2.6,3,Medium,Poor,Diploma,No,No,73.8
STU100022,22,Female,Civil Engineering,2nd,8.6,80.4,40.3,70.5,81.9,6.6,4.2,4.3,3,Low,Good,School,No,No,80
STU100023,18,Female,Electronics,1st,5.8,61.9,68,70,58,5,4.3,3.2,4,Medium,Average,Postgraduate,No,No,81.6
STU100024,20,Male,Electronics,4th,5.9,80.1,61.3,74.9,76.8,6.2,5,5.1,4,Low,Good,School,Yes,No,80.6
STU100025,21,Male,Information Technology,1st,3.8,100,43.1,86.6,59.8,6.5,4.9,2.5,4,Medium,Good,Postgraduate,No,No,71.2
STU100026,17,Male,Computer Engineering,1st,6,80.9,53.4,92.2,57.3,6.8,7.5,2.2,3,Low,Good,Postgraduate,No,No,74.9
STU100027,20,Female,Data Science,3rd,8.2,79.6,61.9,87.5,94.5,8.9,4.1,1.2,5,High,Poor,School,No,No,89.9
STU100028,18,Female,Electronics,1st,4.5,96.7,74.1,79,44.6,5.9,5.4,1.7,6,Low,Good,Postgraduate,No,No,81.2
STU100029,22,Female,Data Science,4th,4.1,69.1,69.1,75.2,62.8,5.3,5.9,2.1,9,Medium,Good,Graduate,Yes,No,72.3
STU100030,21,Male,Data Science,1st,4.3,88.7,50.9,100,73.1,7.9,6.6,1.5,4,Medium,Good,Postgraduate,No,No,88.1
STU100031,20,Male,Mechanical Engineering,1st,8,71.6,44.2,64.9,61.6,3.5,6.1,3.5,4,High,Good,Graduate,No,No,71.9
STU100032,17,Male,Data Science,3rd,6.5,91,73.4,82.5,72.1,6.1,6,0.6,1,Medium,Good,Graduate,Yes,No,81.6
STU100033,17,Male,Civil Engineering,2nd,7.7,87.6,65.5,89.6,51.2,6.4,4.2,1.2,12,Low,Good,Graduate,No,No,96.6
STU100034,19,Male,Civil Engineering,1st,5.4,73.1,88.9,87.7,44.2,5.8,4.4,0,2,Medium,Average,Postgraduate,No,Yes,75.2
STU100035,19,Male,Mechanical Engineering,2nd,4.9,74.8,63.4,60.6,57.8,6.7,5.7,1.5,6,Low,Good,Graduate,No,No,79.2
STU100036,23,Male,Computer Engineering,2nd,5.6,89.7,82.9,100,72.1,6.1,4.8,4.3,5,Medium,Good,Diploma,No,No,96.4
STU100037,18,Male,Computer Engineering,4th,6.9,55.7,75.1,97.1,67.6,4.9,3.3,1.7,4,Low,Good,Graduate,Yes,No,91.1
STU100038,20,Male,Civil Engineering,1st,4.3,72.7,78.7,87.9,78.9,7.5,4.3,1.2,3,Medium,Good,Diploma,No,No,90.7
STU100039,20,Male,Mechanical Engineering,4th,7.5,85.4,73.6,56.9,50.1,7.5,5.5,1.4,3,Low,Good,School,No,No,86.7
STU100040,23,Male,Computer Engineering,3rd,5.5,74.3,73.9,86.7,61.9,5.7,7.6,3,6,Low,Good,Graduate,No,Yes,85.4
STU100041,22,Male,Electronics,1st,0.5,79.6,38.2,37.3,69,6.2,3.3,4.4,4,High,Poor,Diploma,Yes,No,56.3
STU100042,22,Female,Computer Engineering,1st,6.6,53.5,64.9,68.5,56.4,8.8,3,3.8,7,Medium,Good,Postgraduate,Yes,No,73.4
